Input_1,Input_2,Input_3,Input_4,Input_5
0.3253638861624172,0.7007611082586326,0.303916100412802,0.3632540241360169,0.47310572826259684
0.4024928712709765,0.13791127508339146,0.27786779919500004,0.676887967545819,0.022826480716024444
0.18739890698106876,0.2176244674297495,0.5991710635031533,0.9882893301780077,0.6099011786142559
0.6105245079945375,0.7335635210642883,0.4227256877221965,0.08483005242769376,0.7507613614269345
0.18342496974667571,0.4916379853504537,0.3598741928206919,0.8142323369026155,0.2257573230104748
0.6091135990666079,0.5324533285155895,0.8241361197934121,0.47275357143289193,0.10349785648280313
0.05806429701599086,0.13053374097014758,0.29344457087647696,0.3535951245147801,0.43828659637473805
0.6343851432429046,0.22624088604087178,0.9846250341800582,0.6726554717428739,0.07333959241542753
0.48612651467705636,0.5909761302961729,0.26834949872059966,0.9357587779849303,0.032465591026528795
0.37315682438064735,0.5697815375242073,0.04333987179147941,0.06972499439438717,0.636763334517402
0.016478914692112434,0.24481593796010204,0.5908566654297529,0.6682988004880543,0.9936940324434327
0.599365908664579,0.15111404350978158,0.9485546825021104,0.20088401879021534,0.3468663088958758
0.5784604804475934,0.6155869202731834,0.1855215153388986,0.33284003533660117,0.43705475055739346
0.6301397458589407,0.4133199483942499,0.34144513354015865,0.26588241627750686,0.7690354216427384
0.4856806840475315,0.7256121797682163,0.7665137846427117,0.8515165682836278,0.522436002862536
0.577704618510083,0.018122527692972235,0.14044439293075506,0.45770663261932776,0.9448730696238601
0.7318341517278291,0.4277169467041516,0.15431950168071057,0.9405438441775091,0.24304708858431356
0.7509613874431406,0.5111462651451734,0.31204817565650295,0.7249148059673375,0.8892438942072722
0.8177261880016679,0.5765625524212927,0.9676095574011335,0.6286123889103349,0.4972963759154998
0.07786598146214918,0.7734590224948346,0.971413314790462,0.6748588724037174,0.36715655937310376
0.7828935414598476,0.6425766083830335,0.3003543464335735,0.8485584678542138,0.591883457063927
0.6649517800912815,0.27347890901870403,0.1016439324356107,0.45087263823161855,0.9960001305452449
0.7982061842495428,0.3021395769109029,0.8794883145982936,0.38614214358941473,0.7262689515278775
0.9835954915251947,0.5246340393650477,0.3369900483814392,0.5441734906572909,0.8720068313815307
0.8989196020356655,0.7648077083421695,0.08181173348444476,0.6711211724836562,0.5499100009284065
0.8660789621776448,0.00013558024165860605,0.18829211652161904,0.820712719901138,0.5218856203320164
0.215062901550221,0.4445242783179462,0.6737326464943125,0.44949249562872245,0.18578877573876929
0.415313894160998,0.6875892668744759,0.3453359009442099,0.6685873142979831,0.8043990643104478
0.3583844160596976,0.2295569025477674,0.6410861469295013,0.9524390629730384,0.5550184635706074
0.5211216528384599,0.07006068961125617,0.6101347419640576,0.23756734242244698,0.3749303517809754
0.01051414090736047,0.9876643559876535,0.9062596757100595,0.6670026024184481,0.19907236870253486
0.2801038167205588,0.7719786769340049,0.8130106476256772,0.9946040297681439,0.963316432635105
0.7748655440788906,0.8005209104363579,0.4036792593627036,0.8541893098375767,0.24647331063459255
0.24791183894601282,0.13751480373485808,0.5784914311976398,0.4802013597805974,0.7452631744388402
0.8679660505180591,0.9723549598501039,0.5917674565614786,0.5794145384034151,0.39993973522060616
0.7519671892650597,0.8973706596139766,0.32118677942665885,0.09994067720335614,0.35863787051048635
0.2687882436928572,0.5428889852267432,0.6142159750079115,0.8578003607512333,0.06456034701267144
0.42627419545585016,0.9167558873263019,0.44647638194045103,0.4633606283499443,0.9441443465510787
0.7524472450103076,0.6831812161321844,0.03556032517668184,0.15902982581927416,0.8241288759481759
0.9385573362037115,0.632793816453101,0.8882379021753066,0.06078608535993135,0.48264060741858894
0.6697267874326238,0.3626604256176249,0.6306718733512839,0.44461554201770004,0.9494262061920026
0.8243305383171182,0.3640193788097945,0.15071035043951897,0.18868582758685748,0.7467225929243901
0.7069503439933701,0.146126276679595,0.3295714936601931,0.6686894899833394,0.052018899463585955
0.023758276147090307,0.15957246631969202,0.1424492997520742,0.024905744871047464,0.5185382473537998
0.8159021652062477,0.59403273602639,0.16881008815092002,0.1574765048757235,0.7082567224062998
0.8831588433904964,0.5368537233053365,0.15162651346368777,0.713327353996189,0.5647189703306149
0.8885244953024035,0.9181162264790844,0.44363104671623804,0.27953229910612565,0.017988410456587223
0.9796282593302996,0.5543005997780973,0.8179245311878129,0.8988081825071491,0.8850590682192575
0.3631376840226428,0.5861730595820838,0.059069610189485644,0.2988298856380713,0.4056734916281857
0.9070678565126218,0.8427404970655296,0.09005686530394114,0.9233109783911441,0.3206705494997181
0.116756320714475,0.9625630427900269,0.6091921675852706,0.9064875400793555,0.9685311287048486
0.9590828963150778,0.5264153072441097,0.6298666159228772,0.9589719333087545,0.07890072585827923
0.7345933478951236,0.10888467337941643,0.8122962682353208,0.2146226638638128,0.7106393375781045
0.19518917255207618,0.803791968880271,0.5078453673174743,0.6771640394077185,0.7491583674604823
0.40389396634151176,0.29863341829708845,0.8679535282795948,0.05228423678939631,0.655454478356047
0.9344573256868717,0.18989276356336932,0.5341076368006336,0.08368654626168459,0.05329507622853924
0.17148368697816402,0.1585195722515229,0.20297297281670273,0.6677271673223709,0.9898745967573974
0.7002760247568143,0.35661912330581863,0.8291117274539103,0.3476392986949856,0.9816510506736625
0.12151010303681609,0.6627907675799294,0.38124393373816184,0.013429661003090787,0.3358637163679513
0.4063202424269194,0.18766787488251313,0.8381385678131652,0.8406891763648656,0.3079334771141684
0.5003446916431177,0.5536184835557929,0.1488618756717427,0.2824359229614287,0.727089439117805
0.4635988511530767,0.034580856646963365,0.5946614616597868,0.20624243478773424,0.4582026369976864
0.046913908773911495,0.49778014459606995,0.8109614764462614,0.7772070230152227,0.8005385197650051
0.18257514886467274,0.7010820074685368,0.7229735452991153,0.47638648398176836,0.10692569727415524
0.8713985305619195,0.1436779400824047,0.43233928411205497,0.09215146098112076,0.6976896442241493
0.6174155385078794,0.03649552508384918,0.5659230339543084,0.7168966341120119,0.5630004199719534
0.006415650117723437,0.1169577458255247,0.6111823471332682,0.5077261546800893,0.6399699461724424
